temp_coor
"(-37.7398071, 176.0826134)"
"(49.968373, -98.6290814)"
"(10.6735993, -61.5327094)"
"(-31.8759835, 147.2869493)"
"(38.2719604, -96.5352854)"
""
"(34.1816482, -118.3258554)"
""
"(40.9134862, -77.7737471)"
""
"(41.5795195, -83.4924358983687)"
"(49.234362, 6.996379)"
"(41.8755616, -87.6244212)"
"(-34.4468606, 147.5337584)"
"(38.5250491, -89.1334037)"
""
"(39.1014537, -84.5124602)"
"(41.8755616, -87.6244212)"
""
"(37.8044557, -122.271356)"
""
"(-10.3333333, -53.2)"
"(39.9448402, -75.1198911)"
"(-34.1176801, 18.910297)"
"(40.7596198, -111.8867975)"
"(36.6671012, 117.0192886)"
"(46.2306739, -119.0921)"
"(41.2455927, -89.9248303)"
"(13.7524938, 100.4935089)"
"(36.6981025, 3.0951001)"
"(39.9234046, -83.810138)"
"(42.1380804, -88.7834283)"
"(34.8416435, -118.8648189)"
"(25.8143476, -80.1929369)"
"(38.1557502, -121.6913439)"
"(42.0258779, -85.8155576)"
""
"(38.6133731, -90.14629)"
"(34.0039044, -117.0619774)"
"(40.3697905, -80.6339638)"
""
"(41.39311, -81.536509)"
"(41.0799898, -85.1386015)"
"(34.1816482, -118.3258554)"
"(45.5202471, -122.674194)"
""
"(33.8959203, 35.47843)"
""
"(32.6336265, -97.0780706)"
"(51.3478473, -0.0484583)"
"(-28.6483333, 153.6177778)"
"(20.9127045, -17.0503094)"
"(-33.6899965, -71.035406)"
"(51.3334726, 1.4196476)"
""
"(34.7737082, -90.7576112)"
"(35.2072185, -101.833824)"
"(37.0973771, -108.0930233)"
"(-37.507870100000005, 149.92651512146904)"
"(36.7753606, 3.0601882)"
"(40.735657, -74.1723667)"
"(33.9528472, -84.5496148)"
"(32.6944091, -97.1823752)"
"(44.0505054, -123.0950506)"
""
"(37.6688205, -122.080796)"
""
"(52.226706899999996, 10.710483448136292)"
""
""
"(47.8701474, 12.6423403)"
""
"(38.0498524, -77.3469994)"
"(42.0700662, -87.8114044)"
"(38.0580504, 25.721561172355706)"
"(35.1439219, -103.4183431)"
""
"(41.6105938, -87.0641992)"
"(47.6441521, 6.6750345)"
"(45.5202471, -122.674194)"
"(34.9972037, -106.0494876)"
"(36.6671012, 117.0192886)"
""
"(41.4361933, -88.7735303)"
"(53.550341, 10.000654)"
"(-28.889191, 31.4704425)"
""
"(47.2574315, 3.6843003)"
""
""
"(35.2671843, -3.0329882)"
"(40.0117151, -89.8481652)"
"(4.8142838, -75.6946671)"
""
""
"(49.82921075, -2.49845361947528)"
"(51.3713049, -0.101957)"
"(41.9909235, -74.6840456)"
"(-34.5934412, -60.9461678)"
""
"(34.1816482, -118.3258554)"
"(34.8253019, -116.0833144)"
""
"(-12.285251, -41.9294776)"
"(29.8622194, 121.6203873)"
"(39.8870003, -94.892021)"
"(49.82921075, -2.49845361947528)"
""
"(-34.6786912, 150.8539828)"
""
""
""
"(52.4438124, 11.5761196)"
"(38.951883, -92.3337366)"
"(20.2126686, -75.9973941)"
""
"(36.2434093, -84.6699442)"
"(44.933143, 7.540121)"
"(24.9455669, 67.0291459)"
"(40.4416941, -79.9900861)"
"(53.5259287, 8.1276825)"
""
"(50.947476, 12.7638473)"
"(31.1272509, 33.8045859)"
""
"(49.4300997, 2.0823355)"
"(51.3955721, 8.5677743)"
""
"(39.898646, -92.4810208)"
"(55.758285650000005, 37.60436886144644)"
"(43.0161693, -83.6900211)"
"(42.502747, -105.026083)"
"(41.8789942, -87.8436412)"
""
"(6.2443382, -75.573553)"
"(52.3727598, 4.8936041)"
""
"(46.4173554, 9.2260033)"
"(51.4816546, -3.1791934)"
"(6.0572745, -75.502611)"
"(30.0443879, 31.2357257)"
""
""
""
""
"(34.1816482, -118.3258554)"
""
""
""
"(59.87373345, 26.323191633761212)"
"(42.7284117, -73.6917878)"
"(41.139981, -104.820246)"
""
"(32.73475075, -97.4358447663669)"
"(40.63591975, 17.688443357842537)"
"(43.5139051, 4.9884323)"
"(47.3900474, 0.6889268)"
"(51.3713049, -0.101957)"
""
""
"(4.71507735, -75.7508642033295)"
"(34.9381496, -91.0209529)"
""
""
"(33.1838787, -97.1413417)"
"(35.2698375, -75.52139777222223)"
"(-45.0, -15.0)"
""
"(-30.6030819, -71.2029894)"
""
""
"(39.900076, -79.7164326)"
"(10.6472492, -61.51139452899346)"
""
"(47.1606885, 7.212695)"
"(50.5331612, 2.1523287)"
"(47.5581077, 7.5878261)"
"(-37.8752637, 145.1281258)"
"(55.6052931, 13.0001566)"
"(52.3744779, 9.7385532)"
""
"(45.84264135, 15.962231476593626)"
